Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
102187,0,Dundonald/Dundonald/St.Elizabeth/Down & Dromore/Church Of Ireland,02/03/2015,Recently registered,,0,0,0,0,0,"Church Green, Dundonald, Belfast, BT16 2LP",www.stelizabeths.church,office@stelizabeths.church,02890482644,0,The advancement of religion,General public,Religious activities,
102188,0,Crossroads Caring For Carers (Ni) Ltd,26/10/2015,Recently registered,,0,0,0,0,0,"Crossroads Caring For Carers Ltd, 7 Regent Street, Newtownards, County Down, BT23 4AB",www.crossroadscare.co.uk,mail@crossroadscare.co.uk,02891814455,30717,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Children (5-13 year olds),Learning disabilities,Mental health,Older people,Parents,Physical disabilities,Sensory disabilities,Volunteers,Youth (14-25 year olds)","Counselling/support,Disability,Medical/health/sickness,Volunteer development,Youth development",
102189,0,Training For Women Network Ltd,27/05/2015,Recently registered,,0,0,0,0,0,"Training For Women Network Ltd, Part 1A, 1St Floor, The Arches Centre, 11-13 Bloomfield Avenue, Belfast, BT5 5AA",www.twnonline.com,info@twnonline.com,02890 319888,30477,"The advancement of education,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Adult training,Ethnic minorities,Interface communities,Older people,Specific areas of deprivation,Voluntary and community sector,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Cross-border/cross-community,Education/training,Human rights/equality,Research/evaluation",
102190,0,Gracehill Old School Trust,12/08/2015,Recently registered,,0,0,0,0,0,"5 Cennick Grove, Gracehill, Ballymena, County Antrim, Bt42 2Ay, BT42 2AY",,christiecolhoun@gmail.com,(028) 2564 4560,43798,The advancement of environmental protection or improvement,General public,"Environment/sustainable development/conservation,Heritage/historical",
102191,0,St Matthews Housing Association Ltd.,03/06/2015,Recently registered,,0,0,0,0,0,"58 Harper Street, Short Strand, Belfast, BT5 4EN",www.smha.co.uk,office@smha.co.uk,02890451070,0,"The prevention or relief of poverty,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Homelessness,Older people,Physical disabilities,Tenants,Unemployed/low income","Accommodation/housing,Advice/advocacy/information",
102192,0,Cloughmills Early Years,02/06/2015,Up-to-date,31 August 2016,44200,42892,0,0,0,"7 Mill Race, Raceview Road, Broughshane, Ballymena, County Antrim, BT42 4HY",,cloughmillsearlyyears@hotmail.co.uk,07453630403,0,The advancement of education,Preschool (0-5 year olds),Playgroup/after schools,
102193,0,Taylors Avenue Community Regeneration Partnership,21/05/2015,Recently registered,,0,0,0,0,0,"2 Glenfall Mews, Gleno, Larne, County Antrim, BT40 3FD",https://www.facebook.com/pages/taylors-avenue-community-regeneration-partnership/401414946688969?sk=info&tab=page_info,tacrp2014@gmail.com,02893329980,623405,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of amateur sport,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Adult training,Children (5-13 year olds),Men,Older people,Parents,Sensory disabilities,Unemployed/low income,Women,Youth (14-25 year olds)","General charitable purposes,Sport/recreation,Youth development",
102194,0,Teconnaught Cross Community Pre School,24/05/2016,Recently registered,,0,0,0,0,0,"107 Drumlough Road, Hillsborough, County Down, BT26 6PS",,teconnaught@playgroup.plus.com,07809629705,0,The advancement of education,"Parents,Preschool (0-5 year olds),Youth (14-25 year olds)","Education/training,Playgroup/after schools,Youth development",
102197,0,Centre For Cross Border Studies,25/09/2015,Recently registered,,0,0,0,0,0,"39 Abbey Street, Armagh, County Armagh, BT61 7EB",www.crossborder.ie,crossborder@qub.ac.uk,028 3751 1550,36854,The advancement of education,General public,"Advice/advocacy/information,Cross-border/cross-community,Education/training,Heritage/historical,Research/evaluation",
102198,0,Whitehead Storehouse,08/11/2016,Recently registered,,0,0,0,0,0,"2A Balmoral Avenue, Whithead, Carrickfergus, BT38 9QA",,vreynolds_whitehead@hotmail.com,028 93 038362,0,"The prevention or relief of poverty,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Homelessness,Older people,Unemployed/low income","Community development,Relief of poverty",
102199,0,Ardoyne Youth Club,08/04/2015,Recently registered,,0,0,0,0,0,"Ardoyne Youth Club, Old Beltex Mill, 11B Flax Street, Belfast, BT14 7EJ",www.ardoyneyc.com,info@ardoyneyc.com,07796588955,0,"The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Community safety/crime prevention,Interface communities,Voluntary and community sector,Youth (14-25 year olds)","Community development,Cross-border/cross-community,Education/training,Sport/recreation,Volunteer development,Youth development",
102200,0,Antrim Youth Information And Counselling Centre,20/04/2015,Recently registered,,0,0,0,0,0,"10A High Street, Antrim, BT41 4AN",www.ayicc.co.uk,antrimcc@btconnect.com,02894429844,57249,The advancement of health or the saving of lives,"Addictions (drug/solvent/alcohol abuse),Children (5-13 year olds),General public,Parents,Youth (14-25 year olds)","Advice/advocacy/information,Counselling/support,Education/training,Youth development",
102201,0,Genderjam Ni,27/04/2016,Recently registered,,0,0,0,0,0,"Genderjam Ni, Belfast Trans Resource Centre, 98 University Street, Belfast, BT7 1HE",http://www.genderjam.org.uk,info@genderjam.org.uk,02890996819,0,"The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),General public,Homelessness,Men,Mental health,Parents,Sexual orientation,Voluntary and community sector,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Counselling/support,Cross-border/cross-community,Education/training,Gender,Medical/health/sickness,Research/evaluation,Volunteer development,Youth development",
102202,0,Springfield Charitable Association Limited,19/06/2015,Recently registered,,0,0,0,0,0,"Springfield Charitable Association, Montague Centre, 2 Fallswater Street, Belfast, BT12 6BZ",www.scaltd.net,info@scaltd.net,028 9026 9972,15556,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Older people,Voluntary and community sector,Volunteers","Advice/advocacy/information,Community development,Disability,General charitable purposes,Grant making,Relief of poverty,Volunteer development",
102203,0,Social Foundry Ltd,23/05/2016,Recently registered,,0,0,0,0,0,"5 Laurelbank Road, Saintfield, Ballynahinch, County Down, BT24 7LT",,paul@socialfoundry.org,07759114575,628276,"The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Ex-offenders and prisoners,Parents,Youth (14-25 year olds)","Community enterprise,Counselling/support,Criminal justice,Education/training,Relief of poverty,Youth development",
102205,0,Trial Of Lundy Limited,27/03/2015,Up-to-date,31 March 2016,3700,3777,0,0,0,"Top Floor 26-28, Bishop Street Within, Londonderry, BT48 6PP",www.thetrialoflundy.com,margo@besomproductions.co.uk,+44 (0) 2871370303,62383,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Children (5-13 year olds),General public,Interface communities,Men,Voluntary and community sector,Women,Youth (14-25 year olds)","Arts,Community development,Cross-border/cross-community,Cultural,Education/training,Heritage/historical,Human rights/equality,Research/evaluation",
102206,0,St Brigid's Play School Mountfield,23/04/2015,Recently registered,,0,0,0,0,0,"Mountfield Primary School, 4 Lenagh Road, Omagh, County Tyrone, BT79 7PT",,info@stbrigidsps.mountfield.ni.sch.uk,02880771327,0,"The advancement of education,The advancement of citizenship or community development","Parents,Preschool (0-5 year olds),Voluntary and community sector","Community development,Education/training,Playgroup/after schools",
102207,0,Luke Hope For Life,13/05/2015,Recently registered,,0,0,0,0,0,"56A Teiges Hill Road, Brookeborough, Co Fermanagh, BT944HU",,,07590663502,0,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",General public,"Advice/advocacy/information,Education/training,Sport/recreation,Volunteer development",
102208,0,Romanian Appeal Helpline Limited,20/07/2015,Recently registered,,0,0,0,0,0,"69 Dromara Road, Dundrum, Newcastle, County Down, BT33 0NS",,,07969088034,614483,"The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Homelessness,Mental health,Overseas/developing countries,Physical disabilities,Specific areas of deprivation","Accommodation/housing,Advice/advocacy/information,Community development,Disability,Human rights/equality,Medical/health/sickness,Overseas aid/famine relief,Relief of poverty",
102209,0,Donaghcloney Rural Needs Development Group,04/04/2016,Recently registered,,0,0,0,0,0,"24 The Poplars, Donaghcloney, Craigavon, County Armagh, BT66 7LG",,donaghcloneyruralneeds@yahoo.co.uk,07788 146481,0,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science","Adult training,Children (5-13 year olds),General public,Men,Older people,Preschool (0-5 year olds),Volunteers,Women,Youth (14-25 year olds)","Arts,Education/training,Playgroup/after schools,Rural development,Volunteer development,Youth development",
102210,0,Lucy's Trust,01/08/2016,Recently registered,,0,0,0,0,0,"C/O Rob Durston Photography, 81-129 Springfield Road, 3Rd Floor, Belfast, BT12 7AE",www.facebook.com/lucystrust,lucystrust@yahoo.co.uk,07936 575706,0,"The advancement of education,The advancement of animal welfare",General public,"Animal welfare,Education/training",
102211,0,Global Reconciliation Projects,27/04/2015,Recently registered,,0,0,0,0,0,"19 Prospect Link, Carrickfergus, County Antrim, BT38 8QT",www.globalrp.org.uk,georgemcgrand@gmail.com,028 9336 5342,0,"The prevention or relief of poverty,The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Overseas/developing countries,"Economic development,Grant making",
102212,0,All Set Cross Cultural Project,22/06/2015,Recently registered,,0,0,0,0,0,"38 Milltown Lane, Portadown, Craigavon, County Armagh, BT62 1TB",www.allsetcrosscultural.com,allset@btinternet.com,028 38852469,0,"The advancement of education,The advancement of the arts, culture, heritage or science","Children (5-13 year olds),Ethnic minorities,General public,Interface communities,Learning disabilities,Older people,Parents,Specific areas of deprivation,Unemployed/low income,Youth (14-25 year olds)","Arts,Cross-border/cross-community,Cultural,Disability",
102213,0,The Secret Garden (Hillsborough) Ltd,25/11/2015,Recently registered,,0,0,0,0,0,"Praxis Care, 25-31 Lisburn Road, Belfast, BT9 7AA",www.praxiscare.org.uk,info@praxiscare.org.uk,028 9023 4555,39922,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Learning disabilities,Mental health","Advice/advocacy/information,Education/training,Medical/health/sickness,Volunteer development",
102214,0,County Armagh Phoenix Group Ltd,15/09/2015,Recently registered,,0,0,0,0,0,"3 Mallview Terrace, Armagh, BT619AN",www.capg.org.uk,capg@btinternet.com,07968451060,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,Other charitable purposes","Adult training,Men,Older people,Victim support,Women","Education/training,Heritage/historical,Medical/health/sickness",
102215,0,Kilrea Enterprise Group Limited,30/06/2015,Recently registered,,0,0,0,0,0,"33 New Row, Kilrea, Coleraine, County Londonderry, BT51 5TA",,,028 29540645,25252,"The advancement of education,The advancement of citizenship or community development","Adult training,General public,Unemployed/low income","Community development,Community enterprise,Economic development,Education/training,Environment/sustainable development/conservation,Grant making,Heritage/historical,Relief of poverty,Rural development,Sport/recreation",
102216,0,Irish Street Youth And Community Association,22/09/2015,Recently registered,,0,0,0,0,0,"19 Bann Drive, Londonderry, BT472HJ",,irishstreetcc@hotmail.co.uk,02871318357,0,"The prevention or relief of poverty,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Community safety/crime prevention,Interface communities,Men,Older people,Preschool (0-5 year olds),Specific areas of deprivation,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Education/training,Medical/health/sickness,Relief of poverty,Volunteer development,Youth development",
102217,0,Ulster Historic Churches Trust,24/06/2015,Up-to-date,31 October 2016,963,405,0,0,0,"15 Bridge Road, Helens Bay, Bangor, County Down, BT19 1TW",www.ulsterhistoricchurches.org,mail@ulsterhistoricchurches.org,028091852975,29691,"The advancement of education,The advancement of the arts, culture, heritage or science,The advancement of environmental protection or improvement","General public,Voluntary and community sector,Volunteers","Advice/advocacy/information,Environment/sustainable development/conservation,Heritage/historical,Research/evaluation",
102219,0,Clady Cross Community Development Association,07/07/2015,Recently registered,,0,0,0,0,0,"133 Urney Road, Clady, Strabane, County Tyrone, BT82 9RP",,cladycrosscommunity@gmail.com,07561831748,0,"The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of environmental protection or improvement","General public,Unemployed/low income","Community development,Cross-border/cross-community,Rural development",
102220,0,Real Hope Limited,29/06/2015,In default,,0,0,0,0,0,"21 Steeple Green, Antrim, Antrim, BT41 1BP",www.realhope.uk,info@realhope.uk,02894461940,627174,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Men,Youth (14-25 year olds)","Accommodation/housing,Education/training",
102221,0,Drumgor Detached Youth Work Project,12/11/2015,Recently registered,,0,0,0,0,0,"The Detached Centre, Formerly Moyraverty Community Centr, Craigavon, BT65 5HX",www.ddywp.org,ddywp@btconnect.com,028 38 348755,0,"The advancement of education,The advancement of citizenship or community development","Addictions (drug/solvent/alcohol abuse),Children (5-13 year olds),Community safety/crime prevention,General public,Mental health,Specific areas of deprivation,Voluntary and community sector,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Counselling/support,Criminal justice,Education/training,General charitable purposes,Volunteer development,Youth development",
102222,0,The 1608 Royal Schools (Ireland) Trust,07/06/2016,Recently registered,,0,0,0,0,0,"College Hill, Armagh, BT61 9DH",,info@royalschool.com,028 3752 2807,68785,The advancement of education,"Children (5-13 year olds),Youth (14-25 year olds)","Cross-border/cross-community,Education/training",
102223,0,Gilford Community Club,25/07/2016,Recently registered,,0,0,0,0,0,"Gilford Community Club, Castle Hill, Craigavon, BT63 6HH",,readingroomgcc@hotmail.com,02838831665,0,Other charitable purposes,"General public,Men,Older people,Parents,Voluntary and community sector,Women,Youth (14-25 year olds)","Arts,Community development,Cross-border/cross-community,Cultural,Gender,Religious activities,Rural development,Sport/recreation,Volunteer development,Welfare/benevolent,Youth development",
102224,0,Antrim Happy Hearts,31/03/2015,Up-to-date,31 December 2016,4241,4810,0,0,0,"Antrim Happy Hearts, 22 Market Square, Antrim, BT41 4AW",,antrimhappyhearts@outlook.com,028 9446 5783,0,"The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Older people,"Advice/advocacy/information,Education/training,General charitable purposes",
102225,0,Corpus Christi Youth Centre,10/06/2016,Recently registered,,0,0,0,0,0,"Corpus Christi Youth Club, 15B Ballymurphy Road, Belfast, BT12 7JL",www.corpuschristiyouthcentre.org.uk,,02890330246,0,"The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Voluntary and community sector,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Counselling/support,Education/training,Playgroup/after schools,Sport/recreation,Volunteer development,Youth development",
102226,0,Kinallen Rural Community Development Association,05/06/2015,Recently registered,,0,0,0,0,0,"Kinallen Hall, Skeagh Road, Kinallen, County Down, BT25 2QE",www.krcda.org,info@krcda.org,028 9753 3871,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Children (5-13 year olds),Community safety/crime prevention,Men,Older people,Women","Community development,Cross-border/cross-community,Education/training,Rural development,Youth development",
102227,0,Banbridge Amateur Boxing Club,08/06/2015,Due documents received late,30 June 2016,5259,3980,0,0,0,"4A Kiln Lane, Havelock Park, Banbridge, County Down, BT32 4PD",,anne.drumhorc@btconnect.com,02838 831151,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of amateur sport","Children (5-13 year olds),Men,Volunteers,Women","Community development,General charitable purposes,Volunteer development,Youth development",
102228,0,Threefoldcord,20/07/2015,Recently registered,,0,0,0,0,0,"77 Lisoid Road, Downpatrick, County Down, BT30 8AX",www.threefoldcord.info,threefolcord@hotmail.com,02844 841009,65442,"The prevention or relief of poverty,The advancement of education,The advancement of religion,The advancement of health or the saving of lives,The advancement of citizenship or community development","Addictions (drug/solvent/alcohol abuse),Adult training,General public,Interface communities,Men,Older people,Overseas/developing countries,Parents,Physical disabilities,Women","Arts,Counselling/support,Cross-border/cross-community,Cultural,Education/training,Grant making,Overseas aid/famine relief,Religious activities",
102229,0,The General Service Mission,01/12/2015,Recently registered,,0,0,0,0,0,"166 Kings Avenue, Ely, Cambridgeshire, CB74PJ",,,07817592935,0,The advancement of religion,"Children (5-13 year olds),Volunteers,Youth (14-25 year olds)",Accommodation/housing,
102233,0,Fellowship Of Good Counsel Trust Londonderry,06/05/2015,Recently registered,,0,0,0,0,0,"16 Cashelmore Park, Londonderry, BT48 0RU",www.columbacommunity.com,columbacommunity@hotmail.com,02871262008,0,"The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Addictions (drug/solvent/alcohol abuse),Children (5-13 year olds),General public,Men,Women,Youth (14-25 year olds)","Counselling/support,Education/training,General charitable purposes,Religious activities",
102234,0,Cairde Na Gaelscoile,05/10/2015,Recently registered,,0,0,0,0,0,"Gaelscoil Éadain Mhóir, 128 Lecky Road, Derry, BT48 6NP",www.gaelscoileadainmhoir.com,info@gaelscoileadainmhoir.com,02871268020,0,The advancement of education,"Children (5-13 year olds),General public,Language community,Preschool (0-5 year olds)","Community development,Education/training",
102235,0,The Real Disability Network Ltd,05/10/2015,Recently registered,,0,0,0,0,0,"C/O Disability Action, Portside Business Park, 189 Airport Road West, Belfast, BT3 9ED",www.realnetworkni.com,realnetworkni@gmail.com,07525258679,0,"The advancement of education,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Community safety/crime prevention,Learning disabilities,Mental health,Physical disabilities,Sensory disabilities,Voluntary and community sector","Advice/advocacy/information,Disability,Education/training,General charitable purposes,Human rights/equality,Research/evaluation,Volunteer development",
102236,0,The Congregation Of Christian Brothers In Northern Ireland,22/04/2015,Up-to-date,31 August 2016,846073,862460,0,0,0,"Westcourt Centre, 8-30 Barrack Street, Belfast, BT12 4AH",,,02890611343,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Adult training,Children (5-13 year olds),Homelessness,Overseas/developing countries,Youth (14-25 year olds)","Cross-border/cross-community,Education/training,Overseas aid/famine relief,Relief of poverty,Religious activities,Youth development",
102237,0,Greenlight Gateway,09/02/2016,Recently registered,,0,0,0,0,0,"Unit 12, Causeway Enterprise Centre, 61 Leyland Road, Ballycastle, County Antrim, BT54 6EZ",www.greenlightgateway.com,greenlightgateway@hotmail.com,028 2076 1110,65605,"The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Children (5-13 year olds),Learning disabilities,Physical disabilities,Sensory disabilities,Youth (14-25 year olds)","Advice/advocacy/information,Community enterprise,Disability,Education/training,Youth development",
102241,0,Artworks Ni,05/10/2015,Recently registered,,0,0,0,0,0,"29 Raceview Road, Broughshane, Ballymena, County Antrim, BT42 4JJ",www.artworksni.com,info@artworksni.com,07884362339,0,"The advancement of education,The advancement of the arts, culture, heritage or science","General public,Youth (14-25 year olds)","Arts,Cultural,Heritage/historical",
102242,0,Gortnaghey Community Association,06/07/2015,Recently registered,,0,0,0,0,0,"81 Gortnahey Road, Dungiven, Londonderry, BT47 4PZ",,gortnagheycc@hotmail.co.uk,02877742958,56271,"The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Children (5-13 year olds),Men,Older people,Parents,Unemployed/low income,Voluntary and community sector,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Cross-border/cross-community,Cultural,Economic development,Education/training,General charitable purposes,Sport/recreation,Volunteer development,Youth development",
102243,0,Galliagh Women's Group,20/08/2015,Recently registered,,0,0,0,0,0,"63 Galliagh Park, Londonderry, BT488DE",,enquiries@galliaghwomensgroup.co.uk,(028) 71356092,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,Other charitable purposes","Adult training,General public,Mental health,Older people,Specific areas of deprivation,Voluntary and community sector,Volunteers,Women","Community development,Education/training,Medical/health/sickness,Welfare/benevolent",
102244,0,Belfast Indoor Football,15/04/2015,In default,,0,0,0,0,0,"Unit 3, 17 Balmoral Road, Belfast, BT12 6QA",www.citysportsbelfast.com,niall@citysportsbelfast.co.uk,07803 858700,612418,The advancement of amateur sport,General public,"Cross-border/cross-community,Sport/recreation",
102245,0,Wandsworth Community Association,22/02/2016,Recently registered,,0,0,0,0,0,"6 Strandburn Court, Belfast, BT4 1NR",www.wandsworthcommunitycentre.com,alison_smith4@talk21.com,07903674698,0,"The advancement of citizenship or community development,Other charitable purposes","Carers,Children (5-13 year olds),Community safety/crime prevention,General public,Interface communities,Older people,Parents,Preschool (0-5 year olds),Tenants,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Arts,Community development,Community transport,Cross-border/cross-community,Cultural,Education/training,Environment/sustainable development/conservation,General charitable purposes,Sport/recreation,Volunteer development,Youth development",
102246,0,Newry And Mourne Co-Operative Limited,01/04/2016,Recently registered,,0,0,0,0,0,"Enterprise House, Win Business Park, Canal Quay, Newry, Co.Down, BT356PH",www.nmea.net,info@nmea.net,028 30267011,20058,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development","Adult training,Ethnic minorities,General public,Unemployed/low income,Voluntary and community sector,Youth (14-25 year olds)","Community development,Community enterprise,Counselling/support,Cross-border/cross-community,Economic development,Education/training,Relief of poverty,Research/evaluation,Rural development,Urban development,Youth development",
102247,0,North Down Ymca,17/08/2016,Recently registered,,0,0,0,0,0,"North Down Ymca, 39 Queen's Parade, Bangor, BT20 3BJ",www.northdownymca.org,info@northdownymca.org,+442891454290,48892,"The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Children (5-13 year olds),Ethnic minorities,Men,Mental health,Specific areas of deprivation,Tenants,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Education/training,Volunteer development,Youth development",
102248,0,Ballynafeigh Community Development Association,16/09/2015,Recently registered,,0,0,0,0,0,"283 Ormeau Road, Belfast 7, BT7 3GG",www.facebook.com/ballynafeighcommunityhouse,katie.hanlon@bcda.net,02890 491161,607232,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Carers,Children (5-13 year olds),General public,Men,Older people,Parents,Physical disabilities,Preschool (0-5 year olds),Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Education/training,Human rights/equality,Playgroup/after schools,Relief of poverty,Urban development,Volunteer development,Youth development",
102250,0,Kinawley Community Partnership,14/03/2016,Recently registered,,0,0,0,0,0,"Kinawley Community Partnership, Unit 3, Kinawley Enterprise Park, Kinawley, County Fermanagh, BT92 4FH",,kinawleyenterprise@btconnect.com,028 6634 9936,0,"The advancement of education,The advancement of citizenship or community development","General public,Older people","Community development,General charitable purposes,Sport/recreation",
102251,0,Row The Erne,25/08/2016,Recently registered,,0,0,0,0,0,"12 Drumlin Heights, Enniskillen, BT74 7NR",www.rowtheerne.com,joinus@rowtheerne.com,07736058027,0,"The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of amateur sport,The advancement of environmental protection or improvement,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes",General public,"Community development,Community transport,Cross-border/cross-community,Cultural,Disability,Education/training,Environment/sustainable development/conservation,Heritage/historical,Human rights/equality,Medical/health/sickness,Rural development,Sport/recreation,Volunteer development,Youth development",
102252,0,Belfast Ymca Limited,03/04/2017,Recently registered,,0,0,0,0,0,"Belfast Ymca, 58 Knightsbridge Park, Belfast, BT9 5EH",www.belfastymca.org,hello@belfast-ymca.org,02890684667,4741,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),General public,Preschool (0-5 year olds),Voluntary and community sector,Youth (14-25 year olds)","Cross-border/cross-community,Education/training,Playgroup/after schools,Sport/recreation,Volunteer development,Youth development",
102254,0,Bellaghy Womens Group,10/04/2015,Up-to-date,31 August 2016,3286,6207,0,0,0,"2 Birchwood, Bellaghy, Magherafelt, BT45 8JZ",,bellaghywomensgroup@outlook.com,028 7938 6424,32907,The advancement of education,"Adult training,Women","Community development,Cross-border/cross-community,Education/training",
102256,0,The Wesley Trust (High Street Methodist) Lurgan,16/10/2015,Up-to-date,31 December 2016,19950,17382,0,0,0,"21 High Street, Lurgan, County Armagh, BT66 8AA",,,028 38881588,72101,"The prevention or relief of poverty,The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Voluntary and community sector,Youth (14-25 year olds)","Counselling/support,Education/training,General charitable purposes,Relief of poverty,Religious activities,Youth development",
102259,0,The European Angus Cattle Registration Company,12/11/2015,Up-to-date,31 December 2016,583,378,0,0,0,"78 Drumlin Road, Donaghcloney, Craigavon, County Armagh, BT66 7NJ",www.europeanangus.co.uk,info@europeanangus.co.uk,07778 664468,46581,"The advancement of animal welfare,Other charitable purposes","General public,Overseas/developing countries,Youth (14-25 year olds)","Advice/advocacy/information,Animal welfare,Cross-border/cross-community,Economic development,Education/training,Rural development,Youth development",
102262,0,Medaid4kids,13/10/2015,Recently registered,,0,0,0,0,0,"1St Floor, 257 Lisburn Road, Belfast, BT97EN",www.medaid4kids.ie,info@medaid4kids.ie,07703461515,608212,"The prevention or relief of poverty,The advancement of health or the saving of lives,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Overseas/developing countries,Physical disabilities,Specific areas of deprivation","Cross-border/cross-community,Medical/health/sickness,Overseas aid/famine relief,Relief of poverty,Volunteer development",
102263,0,Life Triumphant Church Full Gospel Alliance,09/02/2016,Recently registered,,0,0,0,0,0,"62A Old Mountfield Road, Omagh, County Tyrone, BT79 7EG",www.lifetriumphantchurch.com,pamela@lifetriumphantchurch.com,02882243423,0,"The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Parents,Specific areas of deprivation","Counselling/support,Religious activities",
